iter	RMSE
675	897.1511618
676	896.8505118
677	896.6474328
678	896.4431573
679	896.2139689
680	896.0831498
681	895.9123233
682	895.7745844
683	895.6190927
684	895.2752139
685	895.034687
686	894.8833768
687	894.6572667
688	894.4910579
689	894.4019536
690	894.2306872
691	894.0926183
692	893.9915161
693	893.8587601
694	893.5776164
695	893.2696688
696	893.0077141
697	892.8454467
698	892.6551599
699	892.4905481
700	892.3144932
701	892.0746553
702	891.7905495
703	891.5803272
704	891.4055178
705	891.142069
706	891.0210788
707	890.948225
708	890.6232361
709	890.2159433
710	889.8874328
711	889.6775613
712	889.4268281
713	889.2479867
714	889.1091969
715	888.8604452
716	888.7049474
717	888.3677372
718	888.1361459
719	887.9606274
720	887.7267339
721	887.53196
722	887.3649688
723	887.1897867
724	887.062884
725	886.8430337
726	886.556025
727	886.3904075
728	886.2386752
729	886.0076719
730	885.7065316
731	885.524292
732	885.4765191
733	885.3077443
734	885.0866971
735	884.8837047
736	884.6090105
737	884.5321817
738	884.3803132
739	884.1524737
740	883.8565646
741	883.5606185
742	883.4579469
743	883.293176
744	883.2085619
745	883.0028265
746	882.8366556
747	882.5954173
748	882.3344845
749	882.2483386
750	882.1212335
751	881.9541314
752	881.7816303
753	881.5717041
754	881.4696062
755	881.1726064
756	880.931418
757	880.5411715
758	880.3545384
759	880.1087952
760	879.9801821
761	879.8477599
762	879.6885492
763	879.5644132
764	879.4377789
765	879.2969898
766	879.0446355
767	879.0015901
768	878.6145572
769	878.416194
770	878.2120955
771	878.040109
772	877.7941836
773	877.6900351
774	877.461187
775	877.2312629
776	876.9365087
777	876.679566
778	876.5026623
779	876.4706131
780	876.270765
781	876.0539515
782	875.9059658
783	875.7450197
784	875.6578206
785	875.5719122
786	875.4203704
787	875.3250131
788	875.1439821
789	874.9310339
790	874.6609515
791	874.4795586
792	874.4053185
793	874.0626431
794	873.9850297
795	873.855548
796	873.7465835
797	873.6576932
798	873.4591644
799	873.3678547
800	873.1346918
801	873.0559365
802	872.8408691
803	872.6341575
804	872.4965146
805	872.2347019
806	872.1062684
807	871.7902771
808	871.5639329
809	871.5051489
810	871.3711418
811	871.2838802
812	871.1530313
813	870.9895396
814	870.8438184
815	870.6689738
816	870.5397668
817	870.3573958
818	870.0457902
819	869.9430376
820	869.7098289
821	869.42088
822	869.2771956
823	869.0719295
824	868.8289505
825	868.6373988
826	868.4472356
827	868.1790026
828	867.9873637
829	867.8343821
830	867.6708647
831	867.4368067
832	867.1800235
833	866.9445824
834	866.7568117
835	866.661868
836	866.5593441
837	866.416286
838	866.1568809
839	866.0230285
840	865.7208075
841	865.5400979
842	865.3196647
843	865.1603179
844	864.9726838
845	864.8969769
846	864.7739229
847	864.5888764
848	864.3564473
849	864.2100291
850	864.0729608
851	863.8248156
852	863.6299172
853	863.50936
854	863.3457564
855	863.2850061
856	863.1558992
857	863.0611686
858	862.9335414
859	862.7799692
860	862.6919667
861	862.5888864
862	862.4463569
863	862.3653088
864	862.1401078
865	861.8795679
866	861.6801467
867	861.5917075
868	861.4101615
869	861.1851391
870	861.0156164
871	860.8545763
872	860.6717471
873	860.4448552
874	860.4257737
875	860.1401725
876	859.9993223
877	859.7024938
878	859.5892231
879	859.3374744
880	859.2146514
881	859.0430543
882	858.9048385
883	858.6877561
884	858.4539023
885	858.2893768
886	858.1697568
887	858.076783
888	857.8519197
889	857.7425845
890	857.5543881
891	857.4199346
892	857.1508419
893	856.9785234
894	856.7432735
895	856.613887
896	856.3467149
897	856.0290742
898	855.8700478
899	855.6189314
900	855.4051413
901	855.1078037
902	854.9575697
903	854.8046271
904	854.4305103
905	854.256704
906	854.101901
907	853.9263811
908	853.7412892
909	853.5941022
910	853.5037312
911	853.4249924
912	853.1951187
913	852.9996836
914	852.8280538
915	852.7350066
916	852.5811115
917	852.3954977
918	852.2366531
919	852.113165
920	851.8676187
921	851.7238647
922	851.4999154
923	851.2486024
924	851.1256741
925	850.9468755
926	850.8326035
927	850.6756266
928	850.5311266
929	850.4364618
930	850.2741727
931	850.0809456
932	849.873046
933	849.6497863
934	849.5386161
935	849.4542445
936	849.1991885
937	848.9997856
938	848.8554932
939	848.5729533
940	848.378346
941	848.274064
942	848.1349597
943	847.9812711
944	847.8371187
945	847.5987735
946	847.5069119
947	847.3821062
948	847.2519925
949	846.9749327
950	846.8624135
951	846.6740233
952	846.5829687
953	846.3924179
954	846.2553901
955	846.0673104
956	845.8938951
957	845.8209911
958	845.6667345
959	845.4768437
960	845.2678216
961	845.1099163
962	844.8670616
963	844.826208
964	844.7163239
965	844.5218876
966	844.2911018
967	844.212004
968	844.0541929
969	843.8031026
970	843.5731286
971	843.3732751
972	843.2042427
973	843.0509942
974	842.960905
975	842.831537
976	842.6065501
977	842.4184293
978	842.3047882
979	842.2589794
980	842.1523964
981	841.9900979
982	841.903832
983	841.7095512
984	841.6102338
985	841.5091162
986	841.4056391
987	841.1959929
988	841.0009508
989	840.8687106
990	840.6889681
991	840.5163073
992	840.3975192
993	840.2613918
994	840.172853
995	840.004369
996	839.8591485
997	839.6673728
998	839.4494278
999	839.3666005
